school_id,district,students_total,students_primary,central_power_status,central_heat_status,has_generator,has_autonomous_boiler,has_electric_heaters,has_water_heating,insulation_status,last_inspection_date
SCH-001,Голосіївський,1100,325,stable,available,false,false,true,true,good,2025-07-27
SCH-002,Дарницький,980,286,stable,unavailable,false,true,true,true,poor,2026-01-12
SCH-003,Деснянський,540,205,limited,available,false,false,true,true,poor,2025-10-03
SCH-004,Дніпровський,500,188,limited,unavailable,true,true,false,true,poor,2026-04-15
SCH-005,Оболонський,420,138,outage,available,true,false,true,true,poor,2025-07-11
SCH-006,Печерський,780,227,outage,unavailable,true,false,false,true,poor,2025-10-31
SCH-007,Подільський,660,275,stable,available,false,false,true,true,ok,2026-08-04
SCH-008,Святошинський,640,242,stable,available,false,true,false,true,poor,2026-08-04
SCH-009,Солом'янський,1100,413,stable,available,true,false,false,true,poor,2025-09-09
SCH-010,Шевченківський,560,228,stable,available,false,false,true,true,good,2026-03-06
SCH-011,Голосіївський,1000,355,stable,available,false,false,false,true,poor,2026-02-08
SCH-012,Дарницький,440,132,stable,unavailable,true,false,false,true,good,2026-03-01
SCH-013,Деснянський,300,112,limited,unavailable,true,false,false,false,ok,2026-08-30
SCH-014,Дніпровський,300,124,stable,available,false,false,true,true,poor,2025-08-07
SCH-015,Оболонський,940,343,limited,unavailable,true,false,true,false,good,2025-07-13
SCH-016,Печерський,320,94,stable,available,false,false,false,true,poor,2025-08-03
SCH-017,Подільський,920,362,limited,available,false,false,true,false,good,2026-08-03
SCH-018,Святошинський,840,348,stable,unavailable,false,false,false,false,ok,2025-11-17
SCH-019,Солом'янський,960,329,limited,available,true,true,true,true,good,2026-07-06
SCH-020,Шевченківський,360,112,stable,unavailable,false,false,true,true,good,2026-02-20
SCH-021,Голосіївський,1020,367,stable,available,true,false,true,true,good,2026-03-20
SCH-022,Дарницький,360,134,stable,available,false,true,true,true,poor,2026-06-21
SCH-023,Деснянський,460,155,stable,available,true,false,false,true,good,2026-09-06
SCH-024,Дніпровський,300,124,stable,unavailable,false,false,true,true,poor,2025-08-10
SCH-025,Оболонський,780,218,stable,available,false,false,false,true,good,2025-10-17
SCH-026,Печерський,920,277,outage,available,true,false,false,true,good,2026-05-19
SCH-027,Подільський,940,384,stable,available,false,true,true,false,poor,2025-12-26
SCH-028,Святошинський,800,237,stable,unavailable,false,false,false,false,ok,2025-11-24
SCH-029,Солом'янський,620,191,limited,available,false,false,true,false,ok,2026-03-06
SCH-030,Шевченківський,380,106,stable,unavailable,false,false,true,true,good,2026-06-13
SCH-031,Голосіївський,380,153,stable,available,false,true,false,false,good,2025-09-08
SCH-032,Дарницький,1000,321,limited,available,false,false,true,true,poor,2025-10-11
SCH-033,Деснянський,1060,328,limited,available,true,false,false,true,ok,2025-07-20
SCH-034,Дніпровський,1100,373,outage,available,true,true,false,false,ok,2026-08-05
SCH-035,Оболонський,840,301,limited,available,true,false,false,true,poor,2025-08-25
SCH-036,Печерський,840,250,stable,available,true,false,false,false,ok,2026-07-11
SCH-037,Подільський,740,288,limited,available,false,false,false,true,poor,2025-08-10
SCH-038,Святошинський,520,209,stable,unavailable,true,false,true,false,good,2025-08-10
SCH-039,Солом'янський,500,195,limited,available,true,false,false,true,ok,2026-04-30
SCH-040,Шевченківський,580,180,stable,unavailable,false,false,true,true,ok,2026-04-30
SCH-041,Голосіївський,1120,1300,stable,available,false,false,true,true,ok,2026-07-27
